,lyrics,artist,age
0,"나 아직 꿈을 꾸죠
밤하늘 희미한 달빛처럼
눈부셨던 기억 속에 그 사람
어렴풋이 생각이 나네요
바람에 흩날리는 꽃잎에
따뜻한 그대 향기를 느끼고
스쳐 지나간 듯한
짧았었던 인연이 이제
내 전부인 걸요
같은 하늘 아래 그대와
함께 있다는 걸
지워질까 두려운 거죠
푸른 바다 수평선까지
걸을 수 있다면
나 그대 손 놓지 않을게
하늘에 수놓아진 별빛에
따뜻한 그대 숨결을 느끼고
운명처럼 그대와
이대로만 이렇게 남아
숨 쉴 수 있다면
같은 하늘 아래 그대와
함께 있다는 걸
지워질까 두려운 거죠
푸른 바다 수평선까지
걸을 수 있다면
나 그대 손 놓지 않을게
같은 하늘 아래 그대와
함께 있다는 걸
지워질까 두려운 거죠
푸른 바다 수평선까지
걸을 수 있다면
나 그대 손 놓지 않을게",이선희,80
1,"약속해요 이 순간이 다 지나고
다시 보게 되는 그날
모든 걸 버리고 그대 곁에 서서
남은 길을 가리란

인연이라고 하죠 거부할 수가 없죠
내 생애 이처럼 아름다운 날
또 다시 올 수 있을까요
고달픈 삶의 길에 당신은 선물인 걸
이 사랑이 녹슬지 않도록 늘 닦아 비출게요

취한 듯 만남은 짧았지만
빗장 열어 자리했죠
맺지 못한데도 후회하지 않죠
영원한 건 없으니까

운명이라고 하죠 거부할 수가 없죠
내 생애 이처럼 아름다운 날
또 다시 올 수 있을까요
하고픈 말 많지만 당신은 아실테죠
먼 길 돌아 만나게 되는 날 다신 놓지 말아요
이 생에 못한 사랑
이 생에 못한 인연
먼 길 돌아 다시 만나는 날
나를 놓지 말아요",이선희,80
2,"소슬한 바람이 마음에 불어
나비인 듯 날아 마음이 닿는 곳
맘 같지 않은 세상
그 맘 다 알아줄 수는 없지만
늘 곁에 함께 있다오

오늘 하루 어떤가요
밤새 안녕하신가요
하루가 멀다 일들이 있어
그대 안위에 맘이 쓰였소
별일이 없어 좋은 그날
소소하여도 좋은 그날
숨 한번 쉬고 마음 내려놔 주오
아무 일 아니라오
담지 마오
오늘 하루 어떤가요
그대 안위에 맘이 쓰였소

밤새 안녕했냐고 묻는 가벼운 안부
들려오는 목소리 그 속 가득
한 당신의 걱정 쉽게 헤아릴 수 없는
당신의 한숨
그대가 물어봐 준 나의 하루
그 작은 한마디에 많은 것이
눈부시게 빛나고
녹아내려 사라지죠
계절은 끝없이 변하고
시간은 잡을 수 없어도
그대가 원한다면
언제든 다 들어줄 수 있어요
안녕했냐고 묻는 가벼운 안부
날 보는 당신의 아름다운
모습을 보며 웃는 나 어제보다
좀 더 따뜻해진 오늘
오늘 하루 어떤가요
밤새 안녕하신가요
내 걸음으로 세상 가기도
쉽지 않기에 공감하였소
저마다 원을 치고 앉아
원 밖으로 밀쳐 내오
맘에 마음 조금 내려놔주오
아무것 아니라오
닫지 마오
오늘 하루 어떤가요
그대 안위에 맘이 쓰였소",이선희,80
3,"그렇게 대단한 운명까진
바란적 없다 생각했는데
그대 하나 떠나간 내 하룬 이제
운명이 아님 채울 수 없소

별처럼 수 많은 사람들
그 중에 그대를 만나
꿈을 꾸듯 서롤 알아보고
주는 것 만으로 벅찼던
내가 또 사랑을 받고
그 모든건 기적이었음을

그렇게 어른이 되었다고
자신한 내가 어제같은데
그대라는 인연을 놓지 못하는
내 모습 어린아이가 됐소

별처럼 수 많은 사람들
그 중에 그대를 만나
꿈을 꾸듯 서롤 알아보고
주는 것 만으로 벅찼던
내가 또 사랑을 받고
그 모든건 기적이었음을
나를 꽃처럼 불러주던
그대 입술에 핀 내 이름
이제 수많은 이름들
그 중에 하나되고
오 그대의 이유였던
나의 모든 것도 그저 그렇게

별처럼 수 많은 사람들
그 중에 서로를 만나
사랑하고 다시 멀어지고
억겁의 시간이 지나도
어쩌면 또다시 만나
우리 사랑 운명이었다면
내가 너의 기적이었다면",이선희,80
4,"이렇게 함께하는 편안한
서로의 곁 연애할 때처럼 설레요
밤이 내린 하늘엔 별이 가득
익숙한 이 따스함

우리의 사랑에 책임을 다하며
오늘 이 순간을 맞는 건
당연함이 아닌 기적 같은 선물이죠
그대와 나에게

아프지 말아요
건강하게 더 많은 좋은 시간들
함께하며 누려요
아낌없이 서롤 위하며 살아가요
우리 처음 연애할 때처럼

우리의 사랑에 책임을 다하며
오늘 이 순간을 맞는 건
당연함이 아닌 기적 같은 선물이죠
그대와 나에
아프지 말아요
건강하게 더 많은 좋은 시간들
함께하며 누려요
아낌없이 서롤 위하며 살아가요
우리 처음 연애할 때처럼
아프지 말아요
건강하게 더 많은 좋은 시간들
함께하며 누려요
아낌없이 서롤 위하며 살아가요
우리 처음 연애할 때처럼",이선희,80
5,"봄볕에 불던 바람
따스했던 두 손과
피아노 페달 소리
같이 먹던 저녁식사

때로 사라진다는 건 더 영원해져

선명히 남아있어
내 기억속에 언제나
오랜 시간 말하지 못했던 안녕이라
멈춰서 있는걸까
나는 이렇게 여기에

계절을 잃어버린
달력 몇 장 넘기고
아득한 시간 끝엔
그대 내게 웃던 모습

때로 보이지 않는 건 더 영원해져
선명히 남아있어
내 기억속에 언제나
오랜 시간 흐르지 못했던 눈물이라
감출 수 없던걸까
선명히 남아있어
내 기억 속엔 언제나
사랑한다 말하던
그대의 목소리가
봄볕에 남은걸까
너를 이렇게 만나다",이선희,80
6,"생각 없이 놀던 때가 그리워 그리워요
그때만 이해할 수 있던 것들

심술쟁이 시간 속에 맘 속 흥미는 사라지고
어느새 뭘 해도 걱정만 앞서 시들시들하게

언젠가 간직했던 꿈을 찾아서
노란 풍선 띄워 미지의 세계로
다시 설레어 뛰는 어린 마음이 되어
음악에 나를 맡겨요

어디에 잃어버린 걸까 흥미로운 상상들은
세상 모든 것에 놀라워하던

아름다운 세계를 향해 무딘 가슴을 열어줘요
어느새 뭘 해도 시들해져버린 내 가슴을 향해

언젠가 간직했던 꿈이 있어요
노란 풍선 띄워 미지의 세계로
별다를 게 없던 나에 일상들이 마법처럼
내게 찾아 들어와요
언젠가 간직했던 꿈을 찾아서
노란 풍선 띄워 미지의 세계로
다시 설레어 뛰는 어린 마음이 되어
음악에 나를 맡겨요

언젠가 간직했던 꿈을 찾아서
노란 풍선 띄워 미지의 세계로
다시 설레어 뛰는 어린 마음이 되어
음악에 나를 맡겨요",이선희,80
7,"네게 장미를 전한다
그 붉은 향기 너에게 전한다
나를 잊고 잠든 밤에
네 방가득 장미꽃 향기가 퍼지도록

우리 사랑하며 살자
짧은 생을 꿈꾸게 하자
다시 못 올 이 순간에
사랑할 시간은 충분하지 않은가

잠시라 해도 눈 먼다 해도
그 기쁨에 빠져 볼 만하지 않은가
살아가며 가슴이 뛰는
순간이 많지 않다는 걸 잘 알고 있기에
그 끝이 아픔이라 해도
두 팔을 벌려 너를 안으리
사랑하자 살아가며
우리 두 가슴 뜨겁게 만들자

네게 입을 맞추리라
그 입술은 얼마나 황홀한가
태양 아래 여린 꽃잎
더욱 붉게 물들어 가는 구나
사랑과 미움 모두 가지고
바람 끝에 너의 전부를 맡기고
커져가는 너의 열망은
아득한 그 옛날의 초원을 그리고 있는가
그 끝이 아픔이라 해도
아름답게 피었구나
바람결에 꽃잎이 진데도
그 가슴은 뜨겁게 피고 진다",이선희,80
8,"하늘에 흩어진 우리들의 꿈처럼
모두 사라져가요
모두 잊혀져가요
낯설은 이거리 세월이 또 스쳐가
추억 속에 잠들고
우린 변해가네요
그리움만 남겨둔 사랑의 설레임
두번 다시 또 난 다시 또
느낄순 없나요

기억 속에 잠든 나의 동네 한바퀴
그대 손을 잡고 걷던 길
희미한 가로등 불빛
이별마저 서툴렀던 꽃다운 나이
다시 그때로
그댈 찾으러 돌아가

예전에 비해 이곳도 많이 달라졌네
그대와 손 꼭잡고 걸었던 동네
이제 나혼자 덩그러니 남아
괜히 주위를 두리번대 혹 그대일까봐
낯설은 얼굴 낯 설은 건물
이제 여기에서 난 이방인이 됐지
저 앞에 보이는 교복 입은 아이가 꼭 그대 같아
그때 만약 우리가 좀 더 컸다면 달랐을까
지금도 다시 돌아가고 싶은 마음 about time
될 수 없단걸 알면서 또 잡아 그 추억만
당신과 나 이 선 위에 인연이 아니였대도
나 항상 그대를 잊지 못해 dear J
기억 속에 잠든 나의 동네 한바퀴
그대 손을 잡고 걷던 길
희미한 가로등 불빛
이별마저 서툴렀던 꽃다운 나이
다시 그때로
그댈 찾으러 돌아가

한걸음 한걸음
그대의 뒤를 따라
(멀어져 가지만)
(잠깐 멈춰요 제발)
서로 달라져도
시간이 흘러도
우리의 사랑만은
영원히 간직해줘요

기억 속에 잠든 나의 동네 한바퀴
그대 손을 잡고 걷던 길
희미한 가로등 불빛
이별마저 서툴렀던 꽃다운 나이
다시 그때로
그댈 찾으러 돌아가",이선희,80
9,"연분홍 꽃잎이 바람에 날린다
계절은 여기 머문 듯
아 하얀 눈송이의
시절은 꿈처럼 눈부시다

동백이 꽃망울 피울 때
진홍 물들고 온통 다 꽃일 때
아그래요 나에겐 사랑 뿐이예요
지금도 변함없는
누군가 말했다 꽃말을
그 사랑을 닮은 내 마음이 아프다

진분홍 잎새에 이슬이 내린다
계절이 한창 깊어져
아 하얀 눈 날리는 시절은
꿈처럼 아름답다

먼 훗날 꽃들이 졌을 때
진홍 물든 채 온통 다 졌을 때
아 그래도 나에겐 사랑 뿐이예요
지금도 변함없는
그렇게 피고 지는 동백의
그 사랑이 아파 내 가슴에 담는다
동백꽃
동백꽃
동백꽃
동백꽃EmbedShare URLCopyEmbedCopy",이선희,80
